theta,rp_Co_re,rp_Co_im,rp_Ni_re,rp_Ni_im,rs_Co_re,rs_Co_im,rs_Ni_re,rs_Ni_im,rp_Co^2_re,rp_Co^2_im,rp_Ni^2_re,rp_Ni^2_im,rs_Co^2_re,rs_Co^2_im,rs_Ni^2_re,rs_Ni^2_im,rp_Ni^2 - rs_Ni^2_re,rp_Ni^2 - rs_Ni^2_im,rp_Ni^2 + rs_Ni^2_re,rp_Ni^2 + rs_Ni^2_im,rp_Co^2 - rs_Co^2_re,rp_Co^2 - rs_Co^2_im,rp_Co^2 + rs_Co^2_re,rp_Co^2 + rs_Co^2_im
22,0.747408709489,0.318417054303,0.747271484384,0.336756680939,-0.787362435823,-0.283964756276,-0.788251321079,-0.300122016724,0.457230358549,0.475975359271,0.445009609216,0.503297329683,0.539303622539,0.447166364378,0.53126692026,0.473143152335,-0.0862573110445,0.0301541773478,0.976276529476,0.976440482017,-0.0820732639895,0.0288089948927,0.996533981088,0.923141723649
23,0.745342512088,0.320114977792,0.745148201432,0.338560569574,-0.789107680381,-0.28236850374,-0.790036001643,-0.298424832684,0.453061861319,0.477190603409,0.440622582827,0.504555598987,0.542958959333,0.445638309999,0.53509950313,0.471532723209,-0.0944769203028,0.0330228757786,0.975722085957,0.976088322196,-0.0898970980137,0.0315522934109,0.996020820651,0.922828913408
24,0.743158330162,0.321902066435,0.742903359173,0.340458941171,-0.790923710355,-0.280698206996,-0.791892482545,-0.29664901986,0.448663363314,0.478448404335,0.435993110447,0.505856182114,0.54676883219,0.444021734734,0.539093062928,0.469828257563,-0.103099952481,0.0360279245511,0.975086173375,0.975684439676,-0.0981054688762,0.034426669601,0.995432195504,0.922470139069
25,0.740852242318,0.323780233983,0.740532876752,0.342453788421,-0.792809646887,-0.278953512654,-0.793819792028,-0.294794217033,0.444028405029,0.479746624729,0.431114344346,0.507196578188,0.550732073975,0.44231407173,0.543246231819,0.468026968113,-0.112131887473,0.039169610076,0.974360576166,0.975223546301,-0.106703668946,0.0374325529995,0.994760479005,0.922060696459
26,0.738420038593,0.325751502612,0.73803237221,0.344547215367,-0.794764575182,-0.277134062846,-0.795816919162,-0.292860059189,0.439150111942,0.481082874261,0.425978998812,0.508573997391,0.554847441175,0.440512671453,0.547557554556,0.466125980099,-0.121578555743,0.0424480172916,0.973536553368,0.97469997749,-0.115697329232,0.0405702028079,0.993997553117,0.921595545713
27,0.735857200974,0.327818006207,0.735397142088,0.346741440517,-0.796787544755,-0.275239496469,-0.797882814193,-0.29084617887,0.434021175032,0.482454480952,0.42057933002,0.509985328799,0.55911361106,0.438614805223,0.552025485422,0.464122335388,-0.131446155402,0.0458629934108,0.972604815442,0.974107664187,-0.125092436028,0.0438396757293,0.993134786092,0.921069286175
28,0.733158882068,0.329981993724,0.732622139107,0.349038799984,-0.798877569712,-0.273269450458,-0.800016388923,-0.288752207558,0.428633830173,0.483858459242,0.414907114815,0.51142710455,0.563529178835,0.436617668917,0.556648385176,0.462012996768,-0.141741270361,0.0494141077823,0.971555499991,0.973440101318,-0.134895348662,0.0472407903247,0.992163009008,0.920476128159
29,0.730319881758,0.332245832589,0.729701947721,0.351441750621,-0.80103362905,-0.271223561094,-0.802216517108,-0.286577777101,0.422979836418,0.485291474341,0.408953628428,0.512895459878,0.568092654776,0.434518386854,0.561424517993,0.459794852453,-0.152470889565,0.0531006074247,0.970378146422,0.972690312331,-0.145112818358,0.0507730874875,0.991072491194,0.919809861195
30,0.72733462163,0.334612012114,0.726630757365,0.353952873111,-0.803254666988,-0.269101465344,-0.804482034902,-0.284322521161,0.41705045317,0.486749802448,0.402709621165,0.514386088521,0.572802461388,0.432314015861,0.56635204844,0.457464720784,-0.163642427275,0.0569213677365,0.969061669605,0.971850809305,-0.155752008218,0.0544357865869,0.989852914557,0.919063818309
31,0.724197116941,0.337083146891,0.723402333117,0.35657487496,-0.805539593322,-0.266902802228,-0.806811741316,-0.281986076699,0.410836416267,0.488229286295,0.396165294106,0.515894192955,0.577656930571,0.430001549527,0.571429038474,0.455019355137,-0.175263744367,0.060874837818,0.96759433258,0.970913548091,-0.166820514304,0.058227736769,0.988493346839,0.918230835822
