rp_Co,rp_Ni,rs_Co,rs_Ni,theta,rp_Co^2,rp_Ni^2,rs_Co^2,rs_Ni^2,rp_Ni^2 - rs_Ni^2,rp_Ni^2 + rs_Ni^2,rp_Co^2 - rs_Co^2,rp_Co^2 + rs_Co^2
(0.758844881963+0.308888802832j),(0.759018280982+0.326629609586j),(-0.777193894054-0.293093492299j),(-0.777842231203-0.309829656919j),15,(0.480433262366+0.46879737425j),(0.469421849006+0.495835689571j),(0.518126553726+0.455580945203j),(0.509044120336+0.481997183262j),(-0.0396222713303+0.0138385063096j),(0.978465969343+0.977832872833j),(-0.0376932913603+0.0132164290467j),(0.998559816092+0.924378319453j)
(0.757515637792+0.31000769046j),(0.757653403294+0.327819178774j),(-0.778422095398-0.292006273414j),(-0.779100451887-0.308673344288j),16,(0.477725173356+0.469671346718j),(0.466573265551+0.496746632926j),(0.52067329489+0.454608270441j),(0.511718280657+0.48097508404j),(-0.0451450151067+0.0157715488853j),(0.978291546208+0.977721716966j),(-0.0429481215345+0.0150630762772j),(0.998398468246+0.924279617159j)
(0.756089097047+0.311205128818j),(0.7561884817+0.32909215462j),(-0.779726210842-0.290847262516j),(-0.78043615448-0.307440720132j),17,(0.474822090471+0.470597609689j),(0.463519373624+0.497711393484j),(0.523380833762+0.453562467871j),(0.514560794824+0.479875706701j),(-0.0510414212002+0.0178356867828j),(0.978080168447+0.977587100185j),(-0.0485587432907+0.0170351418184j),(0.998202924232+0.92416007756j)
(0.754562937076+0.312482355623j),(0.754621101953+0.330449830692j),(-0.781105618508-0.28961616903j),(-0.78184864908-0.306131484186j),18,(0.471720003433+0.471575208087j),(0.460255916909+0.498728830754j),(0.5262484619+0.45244163368j),(0.517570824458+0.478696974703j),(-0.0573149075492+0.0200318560508j),(0.977826741367+0.977425805457j),(-0.0545284584669+0.0191335744073j),(0.997968465334+0.924016841767j)
(0.752934643273+0.313840697178j),(0.752948649875+0.331893592578j),(-0.782559659352-0.288312690333j),(-0.783337204857-0.304745324105j),19,(0.468414593836+0.472603066749j),(0.456778312555+0.499797664867j),(0.529275413038+0.451243761467j),(0.520747463949+0.477436700755j),(-0.0639691513946+0.0223609641121j),(0.977525776504+0.977234365622j),(-0.0608608192028+0.0213593052824j),(0.997690006874+0.923846828216j)
(0.751201498747+0.315281570809j),(0.751168300544+0.333424920304j),(-0.784087637297-0.286936512701j),(-0.784901050239-0.303281916512j),20,(0.464901222828+0.473679977039j),(0.453081638263+0.500916461487j),(0.532460860641+0.449966744595j),(0.524089737784+0.476092589578j),(-0.071008099521+0.0248238719093j),(0.977171376046+0.977009051065j),(-0.067559637813+0.0237132324438j),(0.997362083468+0.923646721634j)
(0.749360572995+0.316806487439j),(0.749277006427+0.335045390874j),(-0.785688819362-0.28548731231j),(-0.786539373119-0.30174092809j),21,(0.461174917875+0.474804581912j),(0.449160618414+0.502083614983j),(0.535803915381+0.448608378703j),(0.527596597781+0.474662240849j),(-0.0784359793672+0.0274213741341j),(0.976757216196+0.976745855832j),(-0.0746289975055+0.0261962032093j),(0.996978833256+0.923412960615j)
(0.747408709489+0.318417054303j),(0.747271484384+0.336756680939j),(-0.787362435823-0.283964756276j),(-0.788251321079-0.300122016724j),22,(0.457230358549+0.475975359271j),(0.445009609216+0.503297329683j),(0.539303622539+0.447166364378j),(0.53126692026+0.473143152335j),(-0.0862573110445+0.0301541773478j),(0.976276529476+0.976440482017j),(-0.0820732639895+0.0288089948927j),(0.996533981088+0.923141723649j)
(0.745342512088+0.320114977792j),(0.745148201432+0.338560569574j),(-0.789107680381-0.28236850374j),(-0.790036001643-0.298424832684j),23,(0.453061861319+0.477190603409j),(0.440622582827+0.504555598987j),(0.542958959333+0.445638309999j),(0.53509950313+0.471532723209j),(-0.0944769203028+0.0330228757786j),(0.975722085957+0.976088322196j),(-0.0898970980137+0.0315522934109j),(0.996020820651+0.922828913408j)
(0.743158330162+0.321902066435j),(0.742903359173+0.340458941171j),(-0.790923710355-0.280698206996j),(-0.791892482545-0.29664901986j),24,(0.448663363314+0.478448404335j),(0.435993110447+0.505856182114j),(0.54676883219+0.444021734734j),(0.539093062928+0.469828257563j),(-0.103099952481+0.0360279245511j),(0.975086173375+0.975684439676j),(-0.0981054688762+0.034426669601j),(0.995432195504+0.922470139069j)
