rp_Co,rp_Ni,rs_Co,rs_Ni,theta,rp_Co^2,rp_Ni^2,rs_Co^2,rs_Ni^2,rp_Ni^2 - rs_Ni^2,rp_Ni^2 + rs_Ni^2,rp_Co^2 - rs_Co^2,rp_Co^2 + rs_Co^2
(0.38268916979+0.524979542654j),(0.37002912398+0.553275038582j),(-0.918698951511-0.134850269762j),(-0.920717129582-0.142047622539j),67,(-0.129152519531+0.40180797067j),(-0.169191715725+0.409455755694j),(0.825823168252+0.247773602883j),(0.827542505637+0.261571358576j),(-0.996734221361+0.147884397117j),(0.658350789912+0.67102711427j),(-0.954975687783+0.154034367786j),(0.696670648722+0.649581573553j)
(0.358480382197+0.533148948444j),(0.344949859236+0.561580787256j),(-0.92232406105-0.129718416055j),(-0.924308616399-0.136625795485j),68,(-0.155739616807+0.382246877613j),(-0.196382575228+0.387434427027j),(0.833854806128+0.239284832578j),(0.835679810357+0.252568799979j),(-1.03206238558+0.134865627048j),(0.639297235129+0.640003227006j),(-0.989594422935+0.142962045035j),(0.678115189321+0.621531710191j)
(0.332444059669+0.541279263057j),(0.317988157063+0.569796650838j),(-0.92595304332-0.12451229881j),(-0.927899541059-0.131126806797j),69,(-0.182464187806+0.359890151251j),(-0.223551755273+0.362377173802j),(0.841885725879+0.230585084029j),(0.843803318837+0.243345007694j),(-1.06735507411+0.119032166107j),(0.620251563564+0.605722181496j),(-1.02434991369+0.129305067223j),(0.659421538073+0.59047523528j)
(0.304401882705+0.549291406201j),(0.2889646694+0.577832326556j),(-0.929584105504-0.119232754298j),(-0.931488018074-0.125551596634j),70,(-0.209060542731+0.334410676403j),(-0.250389617451+0.333946254424j),(0.849910159508+0.221673746502j),(0.851906724399+0.233899615829j),(-1.10229634185+0.100046638596j),(0.601517106948+0.567845870253j),(-1.05897070224+0.112736929901j),(0.640849616777+0.556084422905j)
(0.27415594049+0.557085162226j),(0.25768154056+0.585574408233j),(-0.933215462185-0.113880672654j),(-0.935072173437-0.119901161794j),71,(-0.235182398266+0.305456413166j),(-0.276497611233+0.301783431252j),(0.857922291257+0.21255040913j),(0.859983680937+0.224232479913j),(-1.13648129217+0.0775509513389j),(0.583486069704+0.526015911165j),(-1.09310468952+0.0929060040357j),(0.622739892991+0.518006822296j)
(0.241486974249+0.564533962677j),(0.223921128068+0.592880892096j),(-0.936845336939-0.108456998455j),(-0.938650146374-0.114176556208j),72,(-0.260382636284+0.272655197016j),(-0.301367080618+0.265517116336j),(0.86591626483+0.203214866523j),(0.868027811301+0.214343682393j),(-1.16939489192+0.0511734339426j),(0.566660730683+0.479860798729j),(-1.12629890111+0.0694403304928j),(0.605533628547+0.475870063538j)
(0.206152769407+0.571478369951j),(0.187445034248+0.599574383516j),(-0.940471963922-0.102962731233j),(-0.942220091103-0.10837889136j),73,(-0.284088562988+0.235623697244j),(-0.324353800504+0.224774481704j),(0.8738861909+0.193667124108j),(0.876032715985+0.204233537781j),(-1.20038651649+0.0205409439232j),(0.55167891548+0.429008019485j),(-1.15797475389+0.0419565731357j),(0.589797627912+0.429290821351j)
(0.167886899353+0.577717945891j),(0.147993699765+0.605433716328j),(-0.944093589466-0.0973989259289j),(-0.945780178583-0.102509336655j),74,(-0.305572014031+0.193982549273j),(-0.344647849696+0.179200751284j),(0.881826154898+0.183907403181j),(0.883991982098+0.193902597455j),(-1.22863983179-0.0147018461712j),(0.539344132402+0.37310334874j),(-1.18739816893+0.0100751460926j),(0.576254140867+0.377889952454j)
(0.126398134422+0.583001124908j),(0.105286932164+0.610183651543j),(-0.94770847367-0.0917666932805j),(-0.949328598266-0.0965691197057j),75,(-0.323913823258+0.147380509109j),(-0.361238750526+0.128488729455j),(0.88973022507+0.173936145645j),(0.891899192605+0.183351654092j),(-1.25313794313-0.0548629246374j),(0.53066044208+0.311840383547j),(-1.21364404833-0.0265556365367j),(0.565816401812+0.321316654754j)
(0.0813709914441+0.587012645494j),(0.0590259149951+0.613482286144j),(-0.951314891995-0.0860672001529j),(-0.952863559839-0.0905595265581j),76,(-0.337962607721+0.0955316019081j),(-0.372876456771+0.0724227065458j),(0.897592460789+0.163754018435j),(0.899747935818+0.172581745707j),(-1.27262439259-0.100159039161j),(0.526871479047+0.245004452253j),(-1.23555506851-0.0682224165274j),(0.559629853068+0.259285620344j)
(0.0324681327888+0.589358037703j),(0.00889748425662+0.614905790723j),(-0.954911136845-0.0803016697983j),(-0.956383294949-0.0844819018445j),77,(-0.346288716959+0.0382707100566j),(-0.378029966238+0.0109422291845j),(0.905406921098+0.153361917595j),(0.907531815118+0.161594159299j),(-1.28556178136-0.150651930115j),(0.52950184888+0.172536388484j),(-1.25169563806-0.115091207539j),(0.55911820414+0.191632627652j)
(-0.0206643437103+0.589544638969j),(-0.0454182102918+0.613930134299j),(-0.958495519147-0.074471382055j),(-0.95988605893-0.0783376488683j),78,(-0.347135866236-0.0243651061044j),(-0.374847395974-0.0557672158882j),(0.91316767348+0.142760972009j),(0.915244458897+0.150390434076j),(-1.29009185487-0.206157649964j),(0.540397062923+0.0946232181878j),(-1.26030353972-0.167126078113j),(0.566031807244+0.118395865904j)
(-0.0783872177225+0.586958656227j),(-0.10423509817+0.60990959194j),(-0.962066369918-0.0685776734794j),(-0.963370132497-0.0721282296191j),79,(-0.338375908218-0.0920201119595j),(-0.361124754649-0.127147972381j),(0.920868802828+0.131952546763j),(0.922879530679+0.13897236425j),(-1.28400428533-0.266120336631j),(0.56175477603+0.0118243918687j),(-1.25924471105-0.223972658723j),(0.58249289461+0.0399324348039j)
(-0.141051922376+0.580837977953j),(-0.167841501968+0.602052140762j),(-0.96562204182-0.0626219374119j),(-0.966833823437-0.065855164717j),80,(-0.317477111826-0.163856626759j),(-0.334296010413-0.202098671137j),(0.928504420603+0.120938246133j),(0.930430739421+0.127342001393j),(-1.26472674983-0.32944067253j),(0.596134729009-0.0747566697447j),(-1.24598153243-0.284794872891j),(0.611027308777-0.0429183806259j)
(-0.208974810817+0.57024088121j),(-0.236470537293+0.589392449103j),(-0.969160910696-0.0566056239776j),(-0.970275468266-0.0595200332867j),81,(-0.281504191047-0.238331960542j),(-0.291465144052-0.278747898231j),(0.936068674155+0.109719916169j),(0.937891849956+0.115501656337j),(-1.22935699401-0.394249554568j),(0.646426705903-0.163246241894j),(-1.2175728652-0.348051876712j),(0.654564483108-0.128612044373j)
(-0.282397909338+0.554011660974j),(-0.310256983585+0.570764223518j),(-0.972681377094-0.0505302400194j),(-0.973693433869-0.053124472762j),82,(-0.227180341297-0.312903469615j),(-0.229512402985-0.354167172653j),(0.943555756188+0.0982996468939j),(0.945256693553+0.103453900612j),(-1.17476909654-0.457621073266j),(0.715744290568-0.250713272041j),(-1.17073609749-0.411203116509j),(0.716375414891-0.214603822721j)
(-0.361430999384+0.530745809678j),(-0.389176296002+0.544775432182j),(-0.976181867762-0.0443973489643j),(-0.977086119112-0.0466701786195j),83,(-0.151058747175-0.383655976822j),(-0.145322082139-0.424027369699j),(0.950959914352+0.0866797740712j),(0.952519178588+0.0912015674111j),(-1.09784126073-0.51522893711j),(0.80719709645-0.332825802288j),(-1.10201866153-0.470335750893j),(0.799901167177-0.29697620275j)
(-0.445968839692+0.498760078482j),(-0.472961106632+0.509792649031j),(-0.979660837127-0.0382085706232j),(-0.980451956418-0.0401589040422j),84,(-0.0498734099108-0.44486290697j),(-0.0361963366202-0.482224190877j),(0.958275460931+0.0748628805644j),(0.959673301271+0.0787477520716j),(-0.995869637891-0.560971942949j),(0.923476964651-0.403476438806j),(-1.00814887084-0.519725787535j),(0.90840205102-0.370000026406j)
(-0.535576995593+0.456077015214j),(-0.560991261775+0.463944704894j),(-0.983116768742-0.031965580924j),(-0.983789413321-0.0335924595143j),85,(0.0788364744023-0.488528715135j),(0.0994665065887-0.520537850784j),(0.965496782618+0.062851797258j),(0.966713156426+0.0660958120751j),(-0.867246649837-0.586633662859j),(1.06617966301-0.454442038709j),(-0.886660308216-0.551380512393j),(1.04433325702-0.425676917877j)
(-0.62934119148+0.400439774718j),(-0.65215622688+0.405160998641j),(-0.986548176708-0.0256701115769j),(-0.987096993969-0.0269727123455j),86,(0.235718322117-0.504026489874j),(0.261152309438-0.528456536305j),(0.972618350338+0.0506496035441j),(0.973632948292+0.053249366551j),(-0.712480638854-0.581705902856j),(1.23478525773-0.475207169754j),(-0.736900028221-0.554676093418j),(1.20833667245-0.45337688633j)
(-0.725680237029+0.329381028976j),(-0.744695132481+0.331265572909j),(-0.98995360706-0.0193239496737j),(-0.990373240606-0.0203015861278j),87,(0.418119944165-0.47805060636j),(0.444833960547-0.493383719407j),(0.9796347291+0.0382596273643j),(0.98042700131+0.0402122952857j),(-0.535593040763-0.533596014693j),(1.42526096186-0.453171424121j),(-0.561514784936-0.516310233724j),(1.39775467327-0.439790978996j)
(-0.822134144561+0.240378247095j),(-0.836031685304+0.240152420315j),(-0.993331639123-0.0129289372211j),(-0.993616734998-0.0135810601227j),88,(0.618122849976-0.395246329093j),(0.641275793848-0.401550065371j),(0.986540587866+0.0256854448038j),(0.987089770873+0.0269887372338j),(-0.345813977025-0.428538802605j),(1.62836556472-0.374561328137j),(-0.36841773789-0.420931773897j),(1.60466343784-0.36956088429j)
(-0.915160045953+0.131132392405j),(-0.922639841849+0.130066309117j),(-0.996680886831-0.00648697060649j),(-0.996826099819-0.00681316858168j),89,(0.820322205371-0.240014252519j),(0.834347033-0.240008717748j),(0.993330709386+0.0129308792338j),(0.993615854015+0.0135830885294j),(-0.159268821015-0.253591806277j),(1.82796288702-0.226425629218j),(-0.173008504015-0.252945131752j),(1.81365291476-0.227083373285j)
(-1+4.96616249424e-16j),(-1+4.9208837527e-16j),(-1+0j),(-1+0j),90,(1-9.93232498848e-16j),(1-9.8417675054e-16j),(1-0j),(1-0j),(-8.881784197e-16-9.8417675054e-16j),(2-9.8417675054e-16j),(-8.881784197e-16-9.93232498848e-16j),(2-9.93232498848e-16j)
